Rv0001,dnaA,CDS,1,1524,+
IG_Rv0001_Rv0002,NA,Intergenic,1525,2051,
Rv0002,dnaN,CDS,2052,3260,+
IG_Rv0002_Rv0003,NA,Intergenic,3261,3279,
Rv0003,recF,CDS,3280,4437,+
Rv0004,Rv0004,CDS,4434,4997,+
IG_Rv0004_Rv0005,NA,Intergenic,4998,5239,
Rv0005,gyrB,CDS,5240,7267,+
IG_Rv0005_Rv0006,NA,Intergenic,7268,7301,
Rv0006,gyrA,CDS,7302,9818,+
IG_Rv0006_Rv0007,NA,Intergenic,9819,9913,
Rv0007,Rv0007,CDS,9914,10828,+
IG_Rv0007_Rv0008c,NA,Intergenic,10829,11873,
Rv0008c,Rv0008c,CDS,11874,12311,-
IG_Rv0008c_Rv0009,NA,Intergenic,12312,12467,
Rv0009,ppiA,CDS,12468,13016,+
IG_Rv0009_Rv0010c,NA,Intergenic,13017,13132,
Rv0010c,Rv0010c,CDS,13133,13558,-
IG_Rv0010c_Rv0011c,NA,Intergenic,13559,13713,
Rv0011c,Rv0011c,CDS,13714,13995,-
IG_Rv0011c_Rv0012,NA,Intergenic,13996,14088,
Rv0012,Rv0012,CDS,14089,14877,+
IG_Rv0012_Rv0013,NA,Intergenic,14878,14913,
Rv0013,trpG,CDS,14914,15612,+
Rv0014c,pknB,CDS,15590,17470,-
Rv0015c,pknA,CDS,17467,18762,-
Rv0016c,pbpA,CDS,18759,20234,-
Rv0017c,rodA,CDS,20231,21640,-
Rv0018c,pstP,CDS,21637,23181,-
IG_Rv0018c_Rv0019c,NA,Intergenic,23182,23269,
Rv0019c,fhaB,CDS,23270,23737,-
IG_Rv0019c_Rv0020c,NA,Intergenic,23738,23860,
Rv0020c,fhaA,CDS,23861,25444,-
IG_Rv0020c_Rv0021c,NA,Intergenic,25445,25912,
Rv0021c,Rv0021c,CDS,25913,26881,-
IG_Rv0021c_Rv0022c,NA,Intergenic,26882,27022,
Rv0022c,whiB5,CDS,27023,27442,-
IG_Rv0022c_Rv0023,NA,Intergenic,27443,27594,
Rv0023,Rv0023,CDS,27595,28365,+
Rv0024,Rv0024,CDS,28362,29207,+
IG_Rv0024_Rv0025,NA,Intergenic,29208,29244,
Rv0025,Rv0025,CDS,29245,29607,+
IG_Rv0025_Rv0026,NA,Intergenic,29608,29721,
Rv0026,Rv0026,CDS,29722,31068,+
IG_Rv0026_Rv0027,NA,Intergenic,31069,31188,
Rv0027,Rv0027,CDS,31189,31506,+
IG_Rv0027_Rv0028,NA,Intergenic,31507,31513,
Rv0028,Rv0028,CDS,31514,31819,+
IG_Rv0028_Rv0029,NA,Intergenic,31820,32056,
Rv0029,Rv0029,CDS,32057,33154,+
IG_Rv0029_Rv0030,NA,Intergenic,33155,33223,
Rv0030,Rv0030,CDS,33224,33553,+
IG_Rv0030_Rv0031,NA,Intergenic,33554,33581,
Rv0031,Rv0031,CDS,33582,33794,+
IG_Rv0031_Rv0032,NA,Intergenic,33795,34294,
Rv0032,bioF2,CDS,34295,36610,+
Rv0033,acpA,CDS,36607,36870,+
Rv0034,Rv0034,CDS,36867,37262,+
Rv0035,fadD34,CDS,37259,38947,+
IG_Rv0035_Rv0036c,NA,Intergenic,38948,39055,
Rv0036c,Rv0036c,CDS,39056,39829,-
IG_Rv0036c_Rv0037c,NA,Intergenic,39830,39876,
Rv0037c,Rv0037c,CDS,39877,41202,-
IG_Rv0037c_Rv0038,NA,Intergenic,41203,41303,
Rv0038,Rv0038,CDS,41304,41912,+
IG_Rv0038_Rv0039c,NA,Intergenic,41913,42003,
Rv0039c,Rv0039c,CDS,42004,42351,-
IG_Rv0039c_Rv0040c,NA,Intergenic,42352,42432,
Rv0040c,mtc28,CDS,42433,43365,-
IG_Rv0040c_Rv0041,NA,Intergenic,43366,43561,
Rv0041,leuS,CDS,43562,46471,+
